[2023-11-25 09:30:50] - Erro busca das fks na registro avisos org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:19:33] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:21:44] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:21:44] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:21:44] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:21:44] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:21:44] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:21:44] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:21:44] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 11:21:44] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 13:36:13] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 13:36:13] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 13:36:13] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 13:36:13] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 13:36:13] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 13:36:13] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 13:36:13] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 13:36:13] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 13:36:13] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 13:36:13] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 14:59:24] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:34:25] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-25 15:39:09] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
