[2023-11-29 11:23:39] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 11:28:06] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 11:28:06] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 11:28:06] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 11:28:06] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 11:28:06] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 11:28:06] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 11:28:06] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:10:18] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:10:18] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:17:53] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:17:53] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:17:53] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:17:53] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:17:53] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:17:53] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:17:53] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:17:53] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:17:53] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:19:55] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:19:55] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:19:55] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:19:55] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:19:55] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:19:55] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:20:59] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:20:59] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:20:59] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:22:59] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:22:59] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:29:58] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:29:58] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:29:58] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:29:58] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:29:58] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:31:19] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:31:19] - Não existe select na tabela registro avisos, ram org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:31:19] - Não existe select na tabela registro avisos, disco org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
[2023-11-29 13:32:42] - Não existe select na tabela registro avisos, cpu org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0
